data10, data20, data30, data40, data50, data60, data70, data80, data90, data100
14.912, 53.279, 21.217, 95.621, 25.860, 203.902, 97.029, 285.238, 228.693, 199.109
6.467, 53.277, 5.328, 95.410, 25.849, 203.906, 97.010, 285.299, 183.743, 198.957
6.234, 5.175, 5.434, 95.398, 7.910, 203.886, 97.025, 285.333, 183.731, 193.802
17.851, 10.480, 11.381, 95.397, 17.178, 204.074, 97.061, 285.389, 183.694, 193.487
17.995, 10.440, 11.468, 95.386, 17.207, 204.084, 97.068, 285.396, 183.636, 193.318
18.077, 44.652, 8.499, 95.381, 17.173, 204.075, 97.072, 285.387, 183.580, 193.050
6.617, 44.687, 15.703, 95.289, 56.804, 204.108, 97.072, 284.564, 183.512, 192.857
5.994, 44.685, 13.453, 95.110, 56.892, 204.101, 97.084, 284.531, 183.521, 192.647
11.636, 44.673, 5.103, 95.104, 56.864, 204.142, 97.066, 284.515, 183.484, 192.519
14.976, 44.661, 23.937, 95.150, 56.832, 204.155, 97.031, 284.507, 183.385, 192.341
11.548, 42.317, 16.387, 92.981, 54.164, 201.464, 194.528, 282.444, 180.771, 185.666
10.108, 42.281, 16.323, 92.936, 54.146, 26.606, 194.549, 282.392, 180.710, 185.217
10.757, 42.253, 10.628, 92.878, 54.124, 26.249, 194.100, 282.338, 180.636, 185.053
5.630, 5.189, 10.580, 92.871, 54.101, 26.166, 194.124, 282.310, 180.604, 184.917
10.737, 13.260, 24.375, 92.813, 52.235, 26.148, 194.137, 282.331, 180.584, 184.711
10.559, 11.410, 26.051, 92.798, 52.236, 117.571, 194.235, 282.322, 180.338, 268.424
9.496, 12.142, 26.098, 28.554, 26.696, 117.577, 194.275, 282.374, 180.356, 268.464
5.982, 11.998, 26.095, 28.622, 26.709, 117.527, 194.263, 278.675, 180.333, 268.458
20.877, 12.289, 28.576, 28.613, 26.714, 117.520, 193.931, 278.603, 180.261, 268.382
20.956, 12.560, 28.485, 79.936, 26.710, 117.506, 193.927, 278.590, 180.222, 268.397
20.858, 5.519, 28.442, 79.977, 26.666, 117.509, 193.930, 173.965, 180.136, 268.407
6.109, 10.369, 28.381, 79.958, 5.488, 117.509, 193.921, 174.014, 180.115, 268.400
6.193, 10.358, 28.353, 77.560, 4.901, 117.503, 193.889, 173.979, 180.065, 268.467
5.221, 39.401, 14.882, 77.436, 31.126, 114.008, 193.824, 173.975, 180.058, 268.481
6.482, 39.549, 14.798, 77.419, 30.901, 113.929, 193.634, 173.997, 180.051, 268.443
5.740, 39.539, 22.229, 77.348, 30.902, 113.911, 193.493, 173.984, 179.988, 271.101
5.714, 39.530, 22.328, 77.331, 30.940, 113.917, 193.495, 173.999, 179.972, 271.128
7.374, 39.445, 22.438, 77.297, 30.975, 113.947, 193.514, 173.993, 179.935, 271.165
9.857, 39.397, 70.053, 77.242, 30.924, 113.935, 193.480, 174.002, 179.907, 271.198
10.438, 39.468, 70.084, 77.151, 21.340, 113.925, 193.479, 174.002, 179.899, 271.197
5.264, 39.457, 70.070, 77.132, 22.469, 113.916, 193.409, 173.996, 178.954, 271.184
5.091, 6.095, 71.612, 77.120, 22.353, 113.916, 193.331, 173.980, 178.908, 271.194
10.236, 5.179, 71.595, 77.118, 14.389, 113.912, 193.327, 173.951, 178.870, 271.206
10.292, 15.120, 70.667, 77.107, 14.375, 113.904, 193.269, 173.928, 178.821, 271.226
5.246, 12.661, 70.615, 5.618, 36.716, 113.879, 193.261, 173.896, 52.743, 271.258
6.002, 19.368, 70.527, 12.544, 36.749, 113.869, 193.267, 173.864, 52.665, 271.258
5.366, 18.180, 70.482, 72.162, 36.759, 96.196, 193.221, 173.833, 52.655, 271.257
5.493, 18.144, 70.479, 72.251, 36.754, 96.248, 193.073, 173.808, 52.583, 271.267
5.935, 5.563, 70.491, 72.212, 36.783, 96.233, 193.018, 173.812, 52.558, 271.281
16.041, 5.295, 70.486, 72.183, 36.837, 96.200, 193.007, 175.244, 52.524, 271.285
16.133, 6.425, 70.459, 72.126, 36.918, 96.148, 193.002, 175.282, 52.475, 271.264
16.107, 5.644, 25.545, 72.187, 37.518, 96.134, 192.990, 175.331, 50.726, 271.253
18.381, 11.924, 25.563, 72.238, 37.407, 96.132, 192.985, 175.326, 50.663, 267.991
18.405, 11.976, 25.576, 72.294, 37.323, 96.116, 199.839, 175.175, 50.636, 268.008
18.179, 34.337, 25.585, 72.373, 37.201, 96.097, 199.930, 175.045, 6.582, 269.201
5.611, 34.405, 25.572, 70.264, 37.103, 96.091, 199.927, 174.988, 14.418, 269.218
10.262, 34.409, 5.044, 70.100, 37.004, 96.086, 199.905, 174.969, 14.433, 269.230
10.338, 34.392, 11.882, 70.150, 47.102, 96.097, 199.913, 174.738, 31.895, 269.269
7.511, 34.469, 11.868, 70.174, 47.005, 96.094, 199.910, 174.725, 32.663, 269.246
7.414, 34.514, 24.208, 70.146, 46.895, 95.850, 199.913, 174.720, 32.610, 269.250
11.340, 34.525, 24.251, 5.017, 46.825, 95.856, 199.849, 174.723, 32.647, 269.256
11.354, 4.935, 24.330, 5.298, 46.805, 95.857, 199.851, 174.719, 32.651, 269.288
5.030, 4.940, 24.387, 25.809, 46.847, 95.856, 199.857, 174.683, 32.585, 269.244
6.178, 9.826, 16.656, 25.787, 46.835, 95.859, 199.861, 5.814, 37.489, 269.232
6.972, 9.914, 16.718, 25.510, 46.807, 95.836, 199.882, 43.548, 37.615, 269.248
11.090, 11.315, 16.710, 25.509, 54.275, 113.193, 199.905, 43.658, 38.139, 269.253
